country_year
angola_2011
angola_2015
benin_2012
burkina_faso_2010
burkina_faso_2014
cameroon_2011
cote_d_ivoire_2012
democratic_republic_of_congo_2013
ethiopia_2010
ethiopia_2016
ghana_2014
ghana_2016
guinea_2012
kenya_2014
kenya_2015
lesotho_2009
lesotho_2014
malawi_2010
malawi_2012
malawi_2014
malawi_2015
mali_2012
mali_2015
mozambique_2009
mozambique_2011
nigeria_2010
nigeria_2013
nigeria_2015
rwanda_2010
rwanda_2014
senegal_2010
senegal_2012
sierra_leone_2013
tanzania_2010
tanzania_2011
tanzania_2015
togo_2013
uganda_2009
uganda_2011
uganda_2014
zambia_2013
zimbabwe_2010
zimbabwe_2015
